ano,sigla_uf,regiao,serie,rede_resultado,rede_meta,resultado_alfabetizacao_uf_pct,resultado_alfabetizacao_uf_ano_anterior_pct,variacao_alfabetizacao_uf_pp,taxa_alfabetizacao_brasil_pct,diferenca_brasil_pp,meta_ano_resultado_uf_pct,diferenca_meta_ano_pp,meta_alfabetizacao_2030_pct,diferenca_meta_2030_pp,status_meta_ano,status_meta_2030,ranking_uf_no_ano,percentual_participacao_uf_pct,percentual_participacao_brasil_pct,flag_possui_distribuicao_niveis,flag_registro_com_indicadores,chave_gold_evolucao_alfabetizacao_uf,_ingestion_date,_execution_id
2023,BA,Nordeste,2,5,Pública,36.78,,,55.9,-19.12,,,80.0,-43.22,SEM_META_ANUAL,ABAIXO_META_2030,23,84.53,86.0,FALSE,TRUE,2023_BA_5,2026-06-30,20260630T195542Z
2024,BA,Nordeste,2,5,Pública,35.96,36.78,-0.82,59.2,-23.24,43.4,-7.44,80.0,-44.04,ABAIXO_META_ANUAL,ABAIXO_META_2030,25,90.04,87.37,TRUE,TRUE,2024_BA_5,2026-06-30,20260630T195542Z
2023,CE,Nordeste,2,5,Pública,84.46,,,55.9,28.56,,,80.0,4.46,SEM_META_ANUAL,ATINGIU_META_2030,1,95.22,86.0,FALSE,TRUE,2023_CE_5,2026-06-30,20260630T195542Z
2024,CE,Nordeste,2,5,Pública,85.31,84.46,0.85,59.2,26.11,80.0,5.31,80.0,5.31,ATINGIU_META_ANUAL,ATINGIU_META_2030,1,98.13,87.37,TRUE,TRUE,2024_CE_5,2026-06-30,20260630T195542Z
2023,MA,Nordeste,2,5,Pública,56.43,,,55.9,0.53,,,80.0,-23.57,SEM_META_ANUAL,ABAIXO_META_2030,10,89.11,86.0,FALSE,TRUE,2023_MA_5,2026-06-30,20260630T195542Z
2024,MA,Nordeste,2,5,Pública,59.64,56.43,3.21,59.2,0.44,60.3,-0.66,80.0,-20.36,ABAIXO_META_ANUAL,ABAIXO_META_2030,11,90.89,87.37,TRUE,TRUE,2024_MA_5,2026-06-30,20260630T195542Z
2023,MT,Centro-Oeste,2,5,Pública,55.03,,,55.9,-0.87,,,80.0,-24.97,SEM_META_ANUAL,ABAIXO_META_2030,11,87.47,86.0,FALSE,TRUE,2023_MT_5,2026-06-30,20260630T195542Z
2023,PA,Norte,2,5,Pública,48.38,,,55.9,-7.52,,,80.0,-31.62,SEM_META_ANUAL,ABAIXO_META_2030,17,80.55,86.0,FALSE,TRUE,2023_PA_5,2026-06-30,20260630T195542Z
2024,PA,Norte,2,5,Pública,48.2,48.38,-0.18,59.2,-11.0,53.6,-5.4,80.0,-31.8,ABAIXO_META_ANUAL,ABAIXO_META_2030,20,83.21,87.37,TRUE,TRUE,2024_PA_5,2026-06-30,20260630T195542Z
2023,PI,Nordeste,2,5,Pública,52.48,,,55.9,-3.42,,,80.0,-27.52,SEM_META_ANUAL,ABAIXO_META_2030,12,93.37,86.0,FALSE,TRUE,2023_PI_5,2026-06-30,20260630T195542Z
