ano,id_municipio,codigo_uf,sigla_uf,regiao,serie,rede,taxa_alfabetizacao_pct,media_portugues,qtd_alunos_amostra,qtd_alunos_alfabetizados_amostra,qtd_alunos_presentes_amostra,taxa_alfabetizacao_alunos_amostra_pct,taxa_presenca_alunos_amostra_pct,media_proficiencia_alunos_amostra,soma_peso_alunos_amostra,flag_possui_distribuicao_niveis,status_meta_2030,meta_nacional_2030_pct,diferenca_meta_2030_pp,chave_gold_indicador_municipio,_ingestion_date,_execution_id
2023,1100189,11,RO,Norte,2,5,69.73,7.624.062,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-10.27,2023_1100189_2_5,2026-06-30,20260630T195542Z
2023,1302900,13,AM,Norte,2,3,53.17,7.310.744,1,0,0,0.0,0.0,,,FALSE,ABAIXO_META_2030,80.0,-26.83,2023_1302900_2_3,2026-06-30,20260630T195542Z
2023,1503705,15,PA,Norte,2,3,42.67,7.245.942,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-37.33,2023_1503705_2_3,2026-06-30,20260630T195542Z
2023,1600105,16,AP,Norte,2,3,31.2,7.226.519,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-48.8,2023_1600105_2_3,2026-06-30,20260630T195542Z
2023,1600600,16,AP,Norte,2,3,41.76,7.323.746,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-38.24,2023_1600600_2_3,2026-06-30,20260630T195542Z
2023,1700350,17,TO,Norte,2,3,95.52,7.865.935,,,,,,,,FALSE,ACIMA_OU_IGUAL_META_2030,80.0,15.52,2023_1700350_2_3,2026-06-30,20260630T195542Z
2023,2101301,21,MA,Nordeste,2,3,67.67,7.573.005,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-12.33,2023_2101301_2_3,2026-06-30,20260630T195542Z
2023,2106508,21,MA,Nordeste,2,3,63.97,757.629,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-16.03,2023_2106508_2_3,2026-06-30,20260630T195542Z
2023,2106904,21,MA,Nordeste,2,3,51.98,7.508.178,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-28.02,2023_2106904_2_3,2026-06-30,20260630T195542Z
2023,2109759,21,MA,Nordeste,2,3,36.45,7.112.262,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-43.55,2023_2109759_2_3,2026-06-30,20260630T195542Z
2023,2205805,22,PI,Nordeste,2,3,51.73,7.436.944,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-28.27,2023_2205805_2_3,2026-06-30,20260630T195542Z
2023,2208106,22,PI,Nordeste,2,5,60.51,7.606.756,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-19.49,2023_2208106_2_5,2026-06-30,20260630T195542Z
2023,2309706,23,CE,Nordeste,2,3,76.03,7.788.539,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-3.97,2023_2309706_2_3,2026-06-30,20260630T195542Z
2023,2403608,24,RN,Nordeste,2,3,48.0,7.344.663,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-32.0,2023_2403608_2_3,2026-06-30,20260630T195542Z
2023,2407005,24,RN,Nordeste,2,5,32.17,7.195.314,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-47.83,2023_2407005_2_5,2026-06-30,20260630T195542Z
2023,3130200,31,MG,Sudeste,2,5,68.89,7.641.387,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-11.11,2023_3130200_2_5,2026-06-30,20260630T195542Z
2023,3148004,31,MG,Sudeste,2,2,70.81,7.658.133,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-9.19,2023_3148004_2_2,2026-06-30,20260630T195542Z
2023,3165537,31,MG,Sudeste,2,5,80.06,7.800.409,,,,,,,,FALSE,ACIMA_OU_IGUAL_META_2030,80.0,0.06,2023_3165537_2_5,2026-06-30,20260630T195542Z
2023,3170305,31,MG,Sudeste,2,3,63.7,7.533.195,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-16.3,2023_3170305_2_3,2026-06-30,20260630T195542Z
2023,3200805,32,ES,Sudeste,2,3,68.83,7.544.933,,,,,,,,FALSE,ABAIXO_META_2030,80.0,-11.17,2023_3200805_2_3,2026-06-30,20260630T195542Z
2023,3204005,32,ES,Sudeste,2,5,80.63,7.635.738,,,,,,,,FALSE,ACIMA_OU_IGUAL_META_2030,80.0,0.63,2023_3204005_2_5,2026-06-30,20260630T195542Z
