ano,id_municipio,codigo_uf,sigla_uf,regiao,serie,rede_resultado,rede_meta,resultado_alfabetizacao_pct,media_portugues,meta_alfabetizacao_2024_pct,meta_alfabetizacao_2025_pct,meta_alfabetizacao_2026_pct,meta_alfabetizacao_2027_pct,meta_alfabetizacao_2028_pct,meta_alfabetizacao_2029_pct,meta_alfabetizacao_2030_pct,meta_ano_resultado_pct,diferenca_meta_ano_pp,diferenca_meta_2030_pp,status_meta_ano,status_meta_2030,faixa_prioridade_intervencao,nivel_alfabetizacao,percentual_participacao_pct,chave_gold_metas_vs_resultados_municipio,_ingestion_date,_execution_id
2023,1302900,13,AM,Norte,2,3,,53.17,7.310.744,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,MEDIA_PRIORIDADE,,,2023_1302900_2_3,2026-06-30,20260630T195542Z
2023,1600600,16,AP,Norte,2,3,,41.76,7.323.746,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,ALTA_PRIORIDADE,,,2023_1600600_2_3,2026-06-30,20260630T195542Z
2023,1700350,17,TO,Norte,2,3,,95.52,7.865.935,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,BAIXA_PRIORIDADE,,,2023_1700350_2_3,2026-06-30,20260630T195542Z
2023,2101301,21,MA,Nordeste,2,3,,67.67,7.573.005,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,MEDIA_PRIORIDADE,,,2023_2101301_2_3,2026-06-30,20260630T195542Z
2023,2106508,21,MA,Nordeste,2,3,,63.97,757.629,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,MEDIA_PRIORIDADE,,,2023_2106508_2_3,2026-06-30,20260630T195542Z
2023,2106904,21,MA,Nordeste,2,3,,51.98,7.508.178,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,MEDIA_PRIORIDADE,,,2023_2106904_2_3,2026-06-30,20260630T195542Z
2023,2109759,21,MA,Nordeste,2,3,,36.45,7.112.262,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,ALTA_PRIORIDADE,,,2023_2109759_2_3,2026-06-30,20260630T195542Z
2023,2205805,22,PI,Nordeste,2,3,,51.73,7.436.944,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,MEDIA_PRIORIDADE,,,2023_2205805_2_3,2026-06-30,20260630T195542Z
2023,2309706,23,CE,Nordeste,2,3,,76.03,7.788.539,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,BAIXA_PRIORIDADE,,,2023_2309706_2_3,2026-06-30,20260630T195542Z
2023,2403608,24,RN,Nordeste,2,3,,48.0,7.344.663,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,ALTA_PRIORIDADE,,,2023_2403608_2_3,2026-06-30,20260630T195542Z
2023,2606200,26,PE,Nordeste,2,3,,53.14,7.390.293,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,MEDIA_PRIORIDADE,,,2023_2606200_2_3,2026-06-30,20260630T195542Z
2023,2708709,27,AL,Nordeste,2,3,,34.51,7.153.854,,,,,,,,,,,SEM_META_ANUAL,ABAIXO_META_2030,ALTA_PRIORIDADE,,,2023_2708709_2_3,2026-06-30,20260630T195542Z
